"","gender","decision","department"
"1","male","denied","d"
"2","female","denied","c"
"3","female","denied","e"
"4","male","denied","f"
"5","female","denied","f"
"6","female","admitted","c"
"7","male","denied","a"
"8","female","denied","c"
"9","male","denied","c"
"10","male","denied","f"
"11","male","admitted","d"
"12","male","denied","d"
"13","male","denied","c"
"14","male","admitted","b"
"15","female","admitted","a"
"16","female","admitted","a"
"17","female","admitted","e"
"18","male","admitted","b"
"19","female","admitted","d"
"20","female","admitted","c"
"21","male","denied","d"
"22","female","admitted","d"
"23","male","denied","a"
"24","male","admitted","a"
"25","male","denied","f"
"26","female","denied","f"
"27","male","admitted","f"
"28","male","denied","d"
"29","female","admitted","d"
"30","male","admitted","c"
"31","male","admitted","a"
"32","female","denied","c"
"33","male","denied","c"
"34","male","admitted","a"
"35","male","denied","c"
"36","male","admitted","a"
"37","female","admitted","e"
"38","female","denied","c"
"39","female","denied","c"
"40","female","admitted","d"
"41","male","denied","c"
"42","male","admitted","b"
"43","female","denied","d"
"44","male","denied","d"
"45","male","admitted","d"
"46","male","admitted","d"
"47","female","admitted","d"
"48","male","admitted","d"
"49","male","admitted","f"
"50","male","denied","d"
"51","female","denied","e"
"52","male","denied","d"
"53","female","admitted","c"
"54","female","denied","d"
"55","male","admitted","d"
"56","male","denied","f"
"57","female","denied","e"
"58","male","denied","d"
"59","male","admitted","a"
"60","male","admitted","b"
"61","male","denied","a"
"62","female","denied","f"
"63","male","admitted","a"
"64","female","denied","d"
"65","male","denied","f"
"66","female","denied","e"
"67","male","admitted","a"
"68","male","denied","f"
"69","female","denied","c"
"70","female","admitted","a"
"71","male","admitted","d"
"72","female","admitted","c"
"73","male","admitted","d"
"74","male","admitted","a"
"75","female","denied","f"
"76","female","denied","f"
"77","male","admitted","a"
"78","female","denied","f"
"79","female","denied","c"
"80","male","denied","c"
"81","male","denied","d"
"82","male","denied","c"
"83","male","denied","e"
"84","male","denied","e"
"85","male","denied","b"
"86","male","admitted","a"
"87","female","denied","e"
"88","male","admitted","b"
"89","male","denied","b"
"90","male","denied","a"
"91","male","denied","d"
"92","male","admitted","b"
"93","female","denied","f"
"94","female","denied","f"
"95","male","denied","a"
"96","male","admitted","b"
"97","male","denied","e"
"98","male","admitted","a"
"99","male","admitted","b"
"100","female","denied","f"
"101","male","admitted","a"
"102","male","admitted","a"
"103","male","denied","d"
"104","male","admitted","b"
"105","female","denied","d"
"106","male","denied","a"
"107","female","denied","e"
"108","female","admitted","c"
"109","female","admitted","a"
"110","female","denied","c"
"111","male","denied","d"
"112","female","denied","f"
"113","male","denied","f"
"114","male","admitted","a"
"115","female","denied","f"
"116","male","denied","b"
"117","male","denied","d"
"118","female","denied","c"
"119","male","denied","e"
"120","female","denied","c"
"121","male","denied","e"
"122","female","admitted","c"
"123","female","admitted","c"
"124","male","admitted","c"
"125","male","denied","a"
"126","male","admitted","a"
"127","female","denied","f"
"128","male","denied","f"
"129","female","denied","c"
"130","female","denied","d"
"131","female","denied","c"
"132","male","denied","a"
"133","female","denied","d"
"134","male","denied","a"
"135","male","denied","c"
"136","male","admitted","a"
"137","female","denied","c"
"138","male","denied","a"
"139","female","admitted","c"
"140","female","admitted","c"
"141","female","admitted","d"
"142","male","denied","e"
"143","female","admitted","d"
"144","female","denied","f"
"145","female","admitted","a"
"146","male","admitted","b"
"147","male","admitted","a"
"148","male","denied","a"
"149","male","denied","d"
"150","male","denied","b"
"151","female","denied","e"
"152","male","denied","f"
"153","male","admitted","a"
"154","female","denied","d"
"155","male","denied","e"
"156","female","denied","c"
"157","female","admitted","c"
"158","male","denied","c"
"159","female","admitted","e"
"160","female","denied","f"
"161","male","admitted","a"
"162","male","denied","a"
"163","male","admitted","a"
"164","female","denied","c"
"165","female","denied","f"
"166","female","denied","f"
"167","female","denied","c"
"168","female","denied","c"
"169","male","admitted","b"
"170","female","denied","c"
"171","male","denied","f"
"172","male","denied","c"
"173","male","admitted","a"
"174","female","denied","b"
"175","male","admitted","c"
"176","male","denied","d"
"177","female","admitted","e"
"178","male","denied","a"
"179","male","admitted","a"
"180","male","denied","c"
"181","male","admitted","a"
"182","female","admitted","c"
"183","male","denied","d"
"184","female","denied","f"
"185","male","admitted","e"
"186","male","denied","f"
"187","male","admitted","e"
"188","female","denied","f"
"189","male","admitted","a"
"190","female","admitted","d"
"191","male","denied","f"
"192","female","denied","d"
"193","female","denied","c"
"194","female","denied","e"
"195","male","denied","f"
"196","male","denied","c"
"197","male","denied","c"
"198","female","denied","d"
"199","female","denied","d"
"200","female","denied","d"
"201","male","admitted","a"
"202","male","admitted","a"
"203","male","denied","d"
"204","female","denied","c"
"205","female","denied","f"
"206","female","denied","e"
"207","male","admitted","d"
"208","male","denied","e"
"209","male","denied","b"
"210","female","denied","c"
"211","male","denied","d"
"212","male","denied","f"
"213","female","denied","c"
"214","female","denied","c"
"215","male","admitted","c"
"216","male","denied","a"
"217","male","denied","c"
"218","male","denied","f"
"219","female","denied","c"
"220","female","admitted","c"
"221","female","admitted","d"
"222","female","admitted","c"
"223","female","denied","f"
"224","female","denied","f"
"225","male","denied","f"
"226","female","denied","c"
"227","female","denied","d"
"228","male","denied","a"
"229","female","denied","c"
"230","male","admitted","b"
"231","male","denied","f"
"232","male","denied","a"
"233","male","denied","f"
"234","male","admitted","c"
"235","female","admitted","a"
"236","male","admitted","a"
"237","male","admitted","c"
"238","female","denied","d"
"239","male","denied","e"
"240","male","denied","a"
"241","female","denied","f"
"242","male","denied","d"
"243","male","denied","f"
"244","female","denied","f"
"245","female","denied","f"
"246","male","denied","f"
"247","male","denied","a"
"248","female","denied","d"
"249","female","denied","c"
"250","male","admitted","c"
"251","male","denied","f"
"252","female","denied","f"
"253","female","admitted","c"
"254","female","denied","e"
"255","female","denied","f"
"256","female","denied","d"
"257","female","denied","c"
"258","male","denied","f"
"259","male","denied","a"
"260","male","admitted","b"
"261","female","denied","e"
"262","male","admitted","a"
"263","female","denied","c"
"264","male","admitted","b"
"265","male","denied","c"
"266","male","admitted","b"
"267","female","denied","d"
"268","male","denied","c"
"269","male","denied","b"
"270","male","denied","d"
"271","female","denied","e"
"272","female","denied","d"
"273","female","denied","c"
"274","male","admitted","e"
"275","male","denied","e"
"276","female","denied","f"
"277","male","denied","f"
"278","male","admitted","c"
"279","male","admitted","d"
"280","male","admitted","a"
"281","male","denied","d"
"282","male","admitted","a"
"283","female","denied","c"
"284","female","denied","d"
"285","male","denied","d"
"286","male","denied","c"
"287","female","denied","a"
"288","male","denied","e"
"289","male","denied","a"
"290","female","denied","e"
"291","female","denied","e"
"292","male","denied","a"
"293","male","admitted","e"
"294","male","admitted","a"
"295","female","denied","c"
"296","female","denied","f"
"297","female","admitted","c"
"298","male","denied","a"
"299","female","denied","d"
"300","male","admitted","a"
"301","female","denied","d"
"302","male","admitted","a"
"303","female","denied","c"
"304","female","denied","d"
"305","male","denied","e"
"306","female","admitted","d"
"307","female","admitted","d"
"308","male","denied","d"
"309","male","denied","b"
"310","male","denied","d"
"311","female","denied","d"
"312","male","admitted","e"
"313","male","admitted","d"
"314","male","denied","f"
"315","female","denied","f"
"316","male","admitted","d"
"317","female","admitted","d"
"318","male","admitted","b"
"319","male","denied","f"
"320","male","denied","d"
"321","female","denied","c"
"322","male","admitted","a"
"323","female","denied","f"
"324","male","admitted","a"
"325","male","admitted","a"
"326","male","denied","d"
"327","male","denied","a"
"328","male","admitted","b"
"329","male","denied","c"
"330","male","denied","d"
"331","female","admitted","d"
"332","male","denied","a"
"333","male","admitted","a"
"334","female","denied","f"
"335","male","denied","c"
"336","female","denied","f"
"337","male","denied","e"
"338","male","admitted","a"
"339","male","admitted","c"
"340","female","denied","f"
"341","male","admitted","d"
"342","female","denied","d"
"343","male","denied","f"
"344","male","denied","f"
"345","male","admitted","b"
"346","female","denied","e"
"347","female","denied","f"
"348","female","denied","c"
"349","male","denied","c"
"350","female","denied","f"
"351","male","denied","e"
"352","female","denied","e"
"353","female","denied","f"
"354","female","denied","d"
"355","male","admitted","a"
"356","female","denied","f"
"357","female","admitted","c"
"358","female","denied","c"
"359","male","admitted","a"
"360","male","admitted","d"
"361","male","denied","b"
"362","female","denied","f"
"363","female","admitted","e"
"364","female","denied","a"
"365","male","admitted","d"
"366","male","admitted","d"
"367","female","denied","f"
"368","male","admitted","b"
"369","female","admitted","a"
"370","female","denied","c"
"371","male","denied","a"
"372","female","admitted","e"
"373","female","admitted","e"
"374","female","admitted","c"
"375","female","denied","c"
"376","female","denied","c"
"377","male","admitted","d"
"378","female","denied","f"
"379","female","denied","d"
"380","male","denied","b"
"381","female","denied","f"
"382","female","denied","d"
"383","female","denied","f"
"384","male","denied","b"
"385","female","denied","d"
"386","male","denied","d"
"387","female","denied","c"
"388","female","denied","e"
"389","male","admitted","c"
"390","male","admitted","a"
"391","male","denied","a"
"392","male","admitted","a"
"393","male","denied","c"
"394","female","admitted","d"
"395","male","admitted","a"
"396","male","admitted","b"
"397","male","denied","b"
"398","female","denied","f"
"399","female","admitted","c"
"400","female","denied","c"
"401","female","denied","c"
"402","female","denied","f"
"403","male","admitted","c"
"404","male","denied","b"
"405","male","admitted","a"
"406","female","admitted","e"
"407","male","denied","f"
"408","male","admitted","a"
"409","female","admitted","c"
"410","male","admitted","d"
"411","female","admitted","c"
"412","female","admitted","c"
"413","female","denied","f"
"414","female","admitted","a"
"415","male","denied","e"
"416","female","denied","c"
"417","male","admitted","d"
"418","female","denied","e"
"419","female","admitted","a"
"420","female","admitted","a"
"421","male","denied","f"
"422","male","denied","f"
"423","female","denied","c"
"424","male","denied","a"
"425","female","denied","e"
"426","male","admitted","b"
"427","female","denied","c"
"428","female","denied","f"
"429","male","denied","b"
"430","female","denied","f"
"431","male","admitted","b"
"432","female","denied","f"
"433","female","denied","d"
"434","male","denied","f"
"435","male","denied","d"
"436","male","denied","a"
"437","female","denied","e"
"438","female","denied","c"
"439","female","denied","c"
"440","male","admitted","b"
"441","male","admitted","b"
"442","male","admitted","a"
"443","male","denied","d"
"444","male","denied","f"
"445","female","denied","f"
"446","female","admitted","e"
"447","male","admitted","c"
"448","male","denied","e"
"449","male","denied","f"
"450","male","denied","f"
"451","male","admitted","a"
"452","male","admitted","e"
"453","male","denied","d"
"454","male","admitted","d"
"455","male","denied","c"
"456","male","admitted","a"
"457","male","denied","d"
"458","male","denied","f"
"459","male","denied","d"
"460","male","admitted","a"
"461","male","denied","b"
"462","female","denied","f"
"463","female","admitted","c"
"464","male","denied","b"
"465","male","denied","f"
"466","male","denied","c"
"467","male","denied","f"
"468","male","denied","e"
"469","female","denied","d"
"470","female","denied","c"
"471","male","admitted","a"
"472","female","denied","f"
"473","male","admitted","a"
"474","male","denied","f"
"475","male","denied","e"
"476","male","denied","f"
"477","female","admitted","c"
"478","male","denied","e"
"479","male","denied","a"
"480","male","denied","e"
"481","male","admitted","b"
"482","female","admitted","e"
"483","male","denied","d"
"484","male","denied","d"
"485","female","denied","f"
"486","male","denied","b"
"487","male","admitted","a"
"488","female","denied","f"
"489","male","denied","f"
"490","female","admitted","d"
"491","female","denied","d"
"492","male","denied","d"
"493","female","denied","f"
"494","male","admitted","a"
"495","male","denied","f"
"496","male","admitted","c"
"497","female","admitted","d"
"498","male","denied","c"
"499","male","admitted","a"
"500","male","admitted","f"
"501","female","admitted","c"
"502","male","denied","d"
"503","female","admitted","b"
"504","female","admitted","d"
"505","female","denied","d"
"506","female","admitted","d"
"507","female","denied","a"
"508","male","admitted","a"
"509","male","admitted","a"
"510","male","admitted","a"
"511","female","denied","f"
"512","female","denied","f"
"513","female","denied","c"
"514","female","denied","c"
"515","male","admitted","d"
"516","female","admitted","c"
"517","female","denied","f"
"518","female","denied","c"
"519","female","denied","f"
"520","male","denied","c"
"521","female","denied","d"
"522","male","admitted","b"
"523","male","denied","a"
"524","male","denied","f"
"525","female","denied","e"
"526","male","denied","d"
"527","female","denied","c"
"528","female","admitted","d"
"529","female","denied","f"
"530","female","denied","f"
"531","male","admitted","d"
"532","female","denied","c"
"533","male","admitted","a"
"534","female","admitted","c"
"535","male","denied","d"
"536","female","admitted","d"
"537","female","denied","c"
"538","male","admitted","f"
"539","female","denied","f"
"540","male","admitted","a"
"541","female","denied","c"
"542","male","admitted","a"
"543","female","admitted","c"
"544","male","admitted","c"
"545","female","denied","c"
"546","male","admitted","a"
"547","male","denied","d"
"548","male","denied","b"
"549","male","admitted","b"
"550","female","denied","d"
"551","female","denied","c"
"552","male","denied","f"
"553","female","denied","e"
"554","male","admitted","c"
"555","female","denied","e"
"556","male","denied","a"
"557","male","denied","c"
"558","female","denied","f"
"559","male","denied","a"
"560","female","denied","e"
"561","male","admitted","b"
"562","male","denied","f"
"563","female","denied","a"
"564","male","denied","a"
"565","female","denied","e"
"566","female","admitted","c"
"567","male","admitted","a"
"568","male","denied","a"
"569","male","admitted","c"
"570","male","denied","a"
"571","male","admitted","c"
"572","male","denied","b"
"573","male","denied","b"
"574","male","denied","f"
"575","male","admitted","a"
"576","male","denied","d"
"577","female","denied","f"
"578","male","denied","a"
"579","male","admitted","c"
"580","male","admitted","b"
"581","male","admitted","a"
"582","male","denied","c"
"583","male","admitted","b"
"584","male","admitted","a"
"585","male","admitted","b"
"586","female","admitted","e"
"587","male","denied","f"
"588","female","denied","e"
"589","male","denied","c"
"590","male","denied","e"
"591","male","denied","d"
"592","male","denied","a"
"593","female","denied","f"
"594","female","denied","c"
"595","male","admitted","c"
"596","female","admitted","c"
"597","male","denied","f"
"598","male","denied","d"
"599","male","admitted","a"
"600","male","admitted","b"
"601","male","admitted","b"
"602","male","denied","f"
"603","male","denied","b"
"604","female","admitted","e"
"605","female","admitted","a"
"606","male","denied","a"
"607","male","denied","f"
"608","male","admitted","a"
"609","male","admitted","a"
"610","female","denied","f"
"611","male","denied","a"
"612","male","admitted","c"
"613","male","denied","e"
"614","male","denied","e"
"615","male","denied","e"
"616","male","admitted","b"
"617","male","denied","d"
"618","male","denied","e"
"619","male","admitted","a"
"620","male","denied","d"
"621","female","denied","c"
"622","female","denied","c"
"623","male","admitted","e"
"624","male","admitted","d"
"625","male","admitted","d"
"626","female","admitted","c"
"627","female","denied","e"
"628","male","admitted","c"
"629","female","denied","b"
"630","male","denied","f"
"631","female","admitted","d"
"632","female","admitted","c"
"633","male","denied","b"
"634","female","denied","c"
"635","male","denied","a"
"636","male","denied","a"
"637","male","admitted","d"
"638","male","admitted","d"
"639","male","denied","a"
"640","male","denied","f"
"641","male","denied","b"
"642","male","denied","b"
"643","male","admitted","a"
"644","female","denied","e"
"645","female","denied","e"
"646","male","admitted","c"
"647","male","admitted","b"
"648","male","denied","f"
"649","female","denied","e"
"650","female","denied","e"
"651","female","admitted","c"
"652","male","admitted","a"
"653","male","admitted","b"
"654","male","denied","e"
"655","male","denied","f"
"656","male","admitted","b"
"657","female","denied","a"
"658","male","admitted","b"
"659","male","admitted","a"
"660","male","denied","f"
"661","male","denied","d"
"662","female","denied","f"
"663","female","denied","e"
"664","male","denied","a"
"665","male","admitted","f"
"666","male","admitted","a"
"667","female","denied","d"
"668","male","denied","b"
"669","male","denied","a"
"670","female","admitted","c"
"671","male","denied","f"
"672","male","denied","d"
"673","female","denied","e"
"674","female","denied","d"
"675","male","denied","b"
"676","female","denied","f"
"677","female","denied","f"
"678","male","admitted","b"
"679","male","admitted","c"
"680","male","denied","f"
"681","male","admitted","a"
"682","female","admitted","b"
"683","male","denied","f"
"684","male","admitted","a"
"685","male","denied","f"
"686","male","denied","f"
"687","male","denied","f"
"688","male","admitted","a"
"689","female","denied","e"
"690","male","admitted","d"
"691","male","denied","b"
"692","female","admitted","e"
"693","male","admitted","d"
"694","female","denied","e"
"695","female","admitted","c"
"696","male","admitted","b"
"697","male","admitted","d"
"698","female","admitted","d"
"699","male","admitted","b"
"700","male","denied","f"
"701","male","admitted","b"
"702","male","admitted","a"
"703","male","denied","c"
"704","male","denied","a"
"705","female","denied","f"
"706","female","denied","e"
"707","female","denied","c"
"708","female","denied","d"
"709","male","admitted","a"
"710","male","admitted","b"
"711","female","admitted","d"
"712","male","denied","a"
"713","female","denied","c"
"714","male","admitted","f"
"715","male","admitted","c"
"716","male","admitted","b"
"717","male","admitted","e"
"718","male","denied","f"
"719","female","denied","f"
"720","male","denied","b"
"721","male","admitted","b"
"722","female","denied","e"
"723","female","admitted","d"
"724","male","denied","e"
"725","male","denied","c"
"726","male","denied","c"
"727","female","denied","e"
"728","female","denied","a"
"729","male","denied","d"
"730","male","denied","a"
"731","female","denied","e"
"732","female","denied","f"
"733","male","denied","e"
"734","male","denied","a"
"735","male","denied","f"
"736","male","denied","d"
"737","male","admitted","a"
"738","male","admitted","b"
"739","male","denied","c"
"740","male","admitted","b"
"741","male","denied","a"
"742","female","admitted","c"
"743","male","admitted","b"
"744","male","denied","b"
"745","male","admitted","a"
"746","male","denied","c"
"747","male","denied","f"
"748","female","admitted","c"
"749","male","denied","b"
"750","female","denied","d"
"751","male","denied","b"
"752","male","denied","d"
"753","male","admitted","a"
"754","male","denied","a"
"755","male","admitted","c"
"756","female","admitted","e"
"757","male","admitted","d"
"758","male","admitted","c"
"759","female","denied","c"
"760","male","admitted","c"
"761","male","denied","e"
"762","male","admitted","b"
"763","male","admitted","b"
"764","male","denied","d"
"765","female","admitted","d"
"766","female","denied","e"
"767","male","denied","b"
"768","male","denied","a"
"769","female","denied","e"
"770","male","denied","a"
"771","female","denied","c"
"772","male","admitted","b"
"773","male","denied","d"
"774","male","denied","a"
"775","male","denied","f"
"776","female","denied","f"
"777","female","admitted","c"
"778","female","denied","c"
"779","female","admitted","d"
"780","male","denied","e"
"781","female","denied","d"
"782","male","denied","a"
"783","male","admitted","a"
"784","male","admitted","d"
"785","female","denied","c"
"786","male","admitted","a"
"787","male","admitted","c"
"788","male","denied","f"
"789","male","admitted","a"
"790","male","admitted","b"
"791","female","denied","c"
"792","male","admitted","b"
"793","female","denied","a"
"794","female","denied","f"
"795","male","denied","d"
"796","female","denied","f"
"797","male","denied","a"
"798","male","admitted","a"
"799","female","denied","f"
"800","female","denied","c"
"801","female","denied","b"
"802","male","denied","e"
"803","female","admitted","c"
"804","female","denied","d"
"805","male","admitted","d"
"806","female","denied","f"
"807","female","denied","c"
"808","female","denied","d"
"809","female","denied","d"
"810","male","denied","c"
"811","female","admitted","f"
"812","female","admitted","c"
"813","male","denied","a"
"814","female","denied","c"
"815","male","admitted","c"
"816","male","denied","b"
"817","male","admitted","b"
"818","female","denied","f"
"819","male","denied","b"
"820","male","admitted","c"
"821","male","denied","a"
"822","male","denied","a"
"823","female","admitted","a"
"824","female","denied","e"
"825","female","denied","f"
"826","male","admitted","a"
"827","male","admitted","b"
"828","male","admitted","a"
"829","male","denied","f"
"830","male","admitted","a"
"831","female","admitted","d"
"832","male","denied","f"
"833","male","admitted","b"
"834","male","denied","f"
"835","female","denied","d"
"836","female","denied","c"
"837","female","admitted","d"
