Age(months)	Gender	Dominant Hand	Dominant	Non-dominant
117	male	right	0.35335689	0.21624544
101	male	right	0.25719338	0.34349506
135	male	right	0.53655265	0.49735779
119	male	right	0.44370494	0.49612403
124	female	right	0.48280024	0.38806694
127	female	left	0.52390308	0.4217185
101	male	left	0.45506257	0.3808617
131	male	left	0.39418576	0.40322581
119	female	left	0.45146727	0.32780168
105	male	right	0.52700922	0.27091094
138	male	right	0.56457304	0.41515309
137	male	right	0.65279478	0.29778522
96	male	left	0.42072048	0.33741038
126	male	left	0.32019212	0.2329984
126	female	right	0.34371643	0.24121815
114	male	left	0.42803638	0.61185468
120	male	left	0.55632823	0.52066385
110	male	left	0.46511628	0.41078306
117	male	left	0.46893318	0.4069176
125	female	right	0.6504065	0.46282904
133	female	left	0.47947258	0.43080237
118	female	right	0.50235479	0.38901045
136	male	left	0.64051241	0.61680802
102	female	right	0.49581655	0.24604029
116	male	left	0.31274433	0.21245519
112	male	left	0.43968123	0.35406063
100	female	left	0.49953169	0.44113593
100	female	left	0.27763318	0.31955263
132	female	left	0.38268357	0.37735849
96	female	left	0.42678047	0.24006002
108	female	right	0.40444894	0.37148827
96	female	right	0.56737589	0.48236358
96	male	right	0.28218695	0.28303556
137	female	left	0.49937578	0.49581655
114	male	left	0.39186872	0.57450628
114	male	right	0.41247744	0.36060401
96	female	right	0.30188679	0.24532352
104	female	right	0.34180731	0.37576327
94	female	right	0.27031593	0.31110247
90	female	left	0.39119804	0.36463081
108	male	right	0.47633224	0.4610951
119	male	right	0.42105263	0.39476931
97	female	right	0.49828714	0.46390258
122	female	left	0.70052539	0.62868369
110	female	right	0.60675009	0.41418587
117	female	left	0.55420852	0.43992301
105	female	right	0.60998856	0.32599837
137	male	right	0.68995257	0.56457304
139	male	right	0.32935364	0.31727147
114	male	right	0.4045512	0.47576569
101	female	left	0.35343495	0.56477233
118	female	right	0.55420852	0.61609549
105	female	right	0.60172997	0.46893318
136	female	right	0.53529609	0.48207291
117	male	left	0.42655292	0.42895442
99	male	left	0.34342134	0.48163757
137	male	left	0.40847587	0.41300981
138	female	left	0.53619303	0.30586886
111	female	left	0.51347882	0.6245121
96	male	right	0.64	0.59259259
144	male	right	0.64	0.59259259
216	female	right	1	0.69565217
144	male	right	0.66666667	0.66666667
132	female	right	0.59746079	0.4
132	female	right	0.77745384	0.57636888
96	female	right	0.56022409	0.39389463
72	female	right	0.51612903	0.3902439
84	female	right	0.45714286	0.35555556
NA	female	right	0.43243243	0.51612903
NA	female	right	0.70052539	0.69595476
NA	female	right	0.59790732	0.44211108
NA	male	right	0.54644809	0.54108894
NA	male	right	0.53315561	0.61326179
NA	female	right	0.38489295	0.61657033
NA	male	right	0.28070175	0.66666667
NA	female	right	0.79012346	0.57782593
NA	female	right	0.6686168	0.56878777
NA	male	right	0.60240964	0.52219321
NA	male	right	0.44444444	0.4
NA	female	right	0.87960418	0.72628234
NA	female	right	0.71652485	0.67085954
NA	female	right	0.72926162	0.4898959
NA	female	right	0.56042032	0.42462845
NA	female	right	0.4998438	0.60195636
NA	female	right	0.36925917	0.68434559
NA	female	right	0.70052539	0.36092939
NA	female	right	0.76628352	0.44830485
NA	female	right	0.42105263	0.5
NA	male	right	0.53262317	0.49921997
NA	male	right	0.5513439	0.60218291
NA	female	right	0.45714286	0.44358192
NA	female	right	0.66611157	0.59259259
NA	male	right	0.5	0.40973111
