smoking,exercise
heavy,frequent
heavy,frequent
heavy,frequent
heavy,frequent
heavy,frequent
heavy,frequent
heavy,frequent
heavy,none
heavy,some
heavy,some
heavy,some
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,frequent
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,none
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
never,some
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,frequent
occasionally,none
occasionally,none
occasionally,none
occasionally,some
occasionally,some
occasionally,some
occasionally,some
regularly,frequent
regularly,frequent
regularly,frequent
regularly,frequent
regularly,frequent
regularly,frequent
regularly,frequent
regularly,frequent
regularly,none
regularly,some
regularly,some
regularly,some
regularly,some
regularly,some
regularly,some
regularly,some
